name,birthday,nationality
Leonardo Almeida,1984-02-14,BRAZIL
Camila Johansson,1990-07-19,BRAZIL
Tom Braga,1975-12-03,USA
Alice Hudson,1989-11-17,BRAZIL
Denzel Torres,1982-03-05,USA
Lázaro Bennett,1979-08-21,BRAZIL
Natalie Martins,1991-01-09,USA
Chris Ramos,1985-04-18,USA
Fernanda Brooks,1983-07-28,BRAZIL
Bruno Evans,1980-09-13,BRAZIL
Julia Pitt,1992-05-22,USA
Marina DiCaprio,1995-12-04,BRAZIL
Robert Ribeiro,1986-11-25,USA
Letícia Downey,1990-03-15,BRAZIL
Johnny Rocha,1984-06-10,USA
Marina Gagliasso,1988-02-16,BRAZIL
Will Matos,1978-10-29,USA
Cléo Price,1987-04-01,BRAZIL
Keanu Oliveira,1969-07-02,USA
Giovanna Mitchell,1993-09-14,BRAZIL
Matthew Barbosa,1985-03-08,USA
Paolla Hudson,1990-08-16,BRAZIL
Jake Tavares,1981-06-30,USA
Grazi Rivera,1987-12-07,BRAZIL
Christian Gomes,1976-01-04,USA
Juliana Ward,1989-05-20,BRAZIL
Chris Mendes,1983-10-12,USA
Taís James,1984-11-11,BRAZIL
Ryan Silva,1992-04-05,USA
Carla Bell,1990-10-20,BRAZIL
Joaquin Costa,1977-03-25,USA
Isis Adams,1991-12-09,BRAZIL
Zac Ferreira,1989-08-24,USA
Bruna Wallace,1994-06-02,BRAZIL
Daniel Lima,1990-09-30,USA
Nívea Foster,1985-01-15,BRAZIL
Hugh Cunha,1972-02-28,USA
Carol Rivera,1988-11-07,BRAZIL
Chadwick Prado,1980-05-01,USA
Giovanna Thomas,1991-07-17,BRAZIL
Mark Rocha,1982-03-30,USA
Tatá Clark,1983-09-27,BRAZIL
Joseph Fernandes,1986-04-19,USA
Alinne Carter,1985-10-02,BRAZIL
Amanda Gagliasso,1987-03-10,BRAZIL
Benjamin Ramos,1991-06-04,USA
Clara Grant,1992-12-15,BRAZIL
Dylan Sabatella,1988-05-05,USA
Eduardo Scott,1979-01-23,BRAZIL
Fiona Moura,1990-02-18,USA
Gabriela Taylor,1993-04-27,BRAZIL
Henry Braga,1984-12-08,USA
Isabela Ross,1989-06-06,BRAZIL
Jack Torres,1981-10-03,USA
Julia Rocha,1992-07-19,BRAZIL
Kyle Bennett,1986-11-16,USA
Larissa Cole,1991-03-29,BRAZIL
Mason Tavares,1995-01-11,USA
Nina Collins,1989-02-14,BRAZIL
Owen Neves,1980-08-09,USA
Paula Hudson,1984-06-17,BRAZIL
Quinn Pires,1993-12-10,USA
Rafael Gomez,1988-07-05,BRAZIL
Samantha Moore,1990-09-08,USA
Tiago Evans,1987-04-20,BRAZIL
Uma Carter,1994-10-13,USA
Vitor Wallace,1983-05-07,BRAZIL
Whitney Matos,1986-12-22,USA
Ximena Silva,1985-08-02,BRAZIL
Yuri Jackson,1989-11-04,BRAZIL
Zoe Souza,1992-06-12,USA
Arthur Grant,1983-03-18,BRAZIL
Bella Hudson,1991-05-14,USA
Caio Sanchez,1980-01-26,BRAZIL
Diana Wallace,1988-09-21,USA
Eduarda James,1990-11-19,BRAZIL
Felix Adams,1985-02-23,USA
Gustavo Cole,1987-06-15,BRAZIL
Hailey Barbosa,1994-07-12,USA
Igor Mendes,1981-04-25,BRAZIL
Jessica Clark,1990-01-29,USA
Kaio Ferguson,1989-12-30,BRAZIL
Lauren Price,1986-10-17,USA
Matheus Ross,1993-08-11,BRAZIL
Natalie Ribeiro,1989-03-22,USA
Otávio Harris,1987-05-26,BRAZIL
Penelope Brooks,1984-09-16,USA
Quésia Mitchell,1992-01-07,BRAZIL
Ryan Taylor,1990-06-13,USA
Sarah Oliveira,1994-03-19,BRAZIL
Tyler Grant,1988-07-01,USA
Ursula Nunes,1983-10-06,BRAZIL
Vinícius Torres,1986-08-28,BRAZIL
William Scott,1980-11-10,USA
Xavier Cunha,1982-06-29,BRAZIL
Yasmin Parker,1995-09-30,BRAZIL
Zachary Prado,1981-12-21,USA
